"","occurrence_no","phylum","class","order","family","genus","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","diet","diet_basis","ref_author","ref_pubyr"
"729",19848,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Praeradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"730",19849,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Praeradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"731",19850,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Praeradiolites","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"732",19851,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Sauvagesia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"733",19852,"Mollusca","Bivalvia","Hippuritida","Radiolitidae","Sauvagesia","marine","Hippuritida","stationary, attached","Hippuritida","intermediate-level epifaunal, gregarious","Hippuritida","suspension feeder","Hippuritida","Jablonski and Raup 1999",1999
"734",19945,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"735",19986,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"736",20028,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"737",20070,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"738",20115,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"739",20144,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"740",20165,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"741",20202,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Elder 1981",1981
"742",20226,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"743",20280,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"744",20407,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"745",20458,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Palmer and Brann 1965",1965
"746",20471,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"747",20472,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Elder 1981",1981
"748",20502,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Palmer and Brann 1965",1965
"749",20573,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Palmer and Brann 1965",1965
"750",20589,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"751",20617,"Mollusca","Gastropoda","Sorbeoconcha","Tornidae","Teinostoma","","","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Elder 1981",1981
"752",20629,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
"753",20676,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Elder 1981",1981
