,occurrence_no,early_interval,late_interval,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,direct_ma_value,direct_ma_error,direct_ma_method,formation,member,spatial_resolution,collection_dates,ref_author,ref_pubyr,Late_Age,Early_Age,min_Ma,max_Ma,Ref
134242,1441004,Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Jiagang,,,,Fang et al. 2009,2009,,,,,
134244,1441010,Early Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Kukebai,,,,Fang et al. 2009,2009,,,,,
134246,1441015,Early Cretaceous,,143.1,NA,,100.5,NA,,NA,NA,,Zhonggou,,,,Fang et al. 2009,2009,,,,,
134248,1441020,Late Barremian,Early Aptian,125.77,NA,,119.57,NA,,NA,NA,,Yixian,,,,Fang et al. 2009,2009,,,,,
134252,1441215,Early Oligocene,,33.9,NA,,27.3,NA,,NA,NA,,Hsanda Gol,,,,Daxner-Höck et al. 2017,2017,,,,,
134648,1448019,Middle Eocene,,48.07,NA,,37.71,NA,,NA,NA,,Coldwater,,,,Squires 1994,1994,,,,,
134743,1448771,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Kattachi,,,,Karasawa 1992,1992,,,,,
134750,1448866,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Al-Hisa Phosphorite,Bahiya Coquina,,,Wilmsen and Aly 2019,2019,,,,,
134753,1449568,Selandian,Ypresian,61.66,NA,,48.07,NA,,NA,NA,,Unel,M1-M3,,,Gladenkov and Sinel’nikova 2014,2014,,,,,
134767,1449595,Ypresian,,56,NA,,48.07,NA,,NA,NA,,Ommai,M6,,,Gladenkov and Sinel’nikova 2014,2014,,,,,
134787,1450286,Teurian,,66,NA,,56,NA,,NA,NA,,Abbotsford,,,15-Oct-89,Feldmann 1993,1993,,,,,
134791,1450353,Paleocene,Eocene,66,NA,,33.9,NA,,NA,NA,,"Teberemt, Tamaguélelt, Continental Terminal",,,1999 - 2003,O'Leary et al. 2019,2019,,,,,
134792,1450354,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Ménaka,,,1999 - 2003,O'Leary et al. 2019,2019,,,,,
134797,1450359,Campanian,Paleocene,83.6,NA,,56,NA,,NA,NA,,"Tichet, Ménaka, Teberemt",,,1999 - 2003,O'Leary et al. 2019,2019,,,,,
135068,1451058,Early Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Pender,,,,Schweitzer et al. 2009,2009,,,,,
137391,1456030,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Sitkalidak,,,,Amano and Kiel 2007,2007,,,,,
137394,1456237,Paleogene,,66,NA,,23.04,NA,,NA,NA,,Toka,,,,Nagao 1928,1928,,,,,
137430,1456348,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Tukwila,,,,Nesbitt 1998,1998,,,,,
137495,1456429,Albian,,113.2,NA,,100.5,NA,,NA,NA,,Taninúl,,,,Stenzel 1944,1944,,,,,
137501,1456694,Eocene,,56,NA,,33.9,NA,,NA,NA,,Yotsuyama,,,,Nagao 1928,1928,,,,,
137514,1456708,Eocene,,56,NA,,33.9,NA,,NA,NA,,Fukami,,,,Nagao 1928,1928,,,,,
137519,1456713,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Akasaki,,,,Nagao 1928,1928,,,,,
137660,1467643,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Torrey,,,,Givens and Kennedy 1979,1979,,,,,
137662,1467906,Oligocene,Early Miocene,33.9,NA,,15.98,NA,,NA,NA,,Ukekawa-Muro,,,,Natori 1964,1964,,,,,
137684,1468058,Middle Eocene,,48.07,NA,,37.71,NA,,NA,NA,,Hashima,,,,Kamada 1960,1960,,,,,
137686,1468061,Lutetian,,48.07,NA,,41.03,NA,,NA,NA,,Wakkanabe,,,,Uozumi 1955,1955,,,,,
137699,1468422,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Joe's River,,,,Kugler et al. 1984,1984,,,,,
137919,1469359,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Iojima,,,,Nagao 1928,1928,,,,,
