"","occurrence_no","genus","ref_author","ref_pubyr"
"14705",1522260,"Trachyteuthis","Fuchs and Larson 2011",2011
"14707",1522262,"Boreopeltis","Fuchs and Larson 2011",2011
"14709",1522264,"Eromangateuthis","Fuchs 2019",2019
"14711",1522266,"Mastigophora","Engeser and Reitner 1985",1985
"14713",1522268,"Maioteuthis","Engeser and Reitner 1985",1985
"14715",1522270,"Plesioteuthis","Engeser and Reitner 1985",1985
"14716",1522271,"Neololigosepia","Reitner and Engeser 1982",1982
"14718",1522273,"Marekites","Fuchs et al. 2017",2017
"14728",1522407,"Groenlandibelus","Birkelund 1956",1956
"14729",1522408,"Cyrtobelus","Fuchs et al. 2012",2012
"14741",1522420,"Glyphidiopsis","Fuchs and Larson 2011",2011
"14763",1522628,"Muensterella","Fuchs et al. 2019",2019
"14787",1523177,"Pavloviteuthis","Jeletzky 1981",1981
"14792",1523182,"Chalalabelus","Jeletzky 1981",1981
"14795",1523185,"Styloteuthis","Fritsch 1910",1910
"14798",1523188,"Eoteuthoides","Fritsch 1910",1910
"14806",1523201,"Palaeoctopus","Engeser and Reitner 1986",1986
"14808",1523203,"Styletoctopus","Fuchs et al. 2009",2009
"14809",1523204,"Keuppia","Fuchs et al. 2009",2009
"14820",1524911,"Costazygia","Kaim 2004",2004
"14824",1524917,"Knightella","Kaim 2004",2004
"14829",1524934,"Proacirsa","Kaim 2004",2004
"14832",1525003,"Palaeoteuthis","Riegraf and Moosleitner 2010",2010
"14838",1525070,"Curtohibolites","Janssen 2010",2010
"14920",1534740,"Ceritella (Fibula)","Anderson 1958",1958
"14930",1536126,"Forsia","Saul 1988",1988
"15043",1552127,"Necroteuthis","Kretzoi 1942",1942
"15049",1555197,"Ptychoplasma","Cónsole-Gonella et al. 2017",2017
"15067",1561167,"Liocium","Squires and Saul 2003",2003
"15077",1561265,"Abyssomelania","Kaim et al. 2014",2014
"15078",1561267,"Ascheria","Kaim et al. 2014",2014
"15114",1561397,"Cydas","Saul and Popenoe 1993",1993
"15250",1567138,"Alencasteria","Pons et al. 2019",2019
"15251",1567139,"Stellacaprina","Pons et al. 2019",2019
"15308",1569730,"Trochonerita","Kołodziej and Bucur 2020",2020
"15352",1571631,"Ceratomya","Creixell et al. 2013",2013
"15357",1571645,"Virgotrigonia","Creixell et al. 2013",2013
"15445",1573857,"Splenditrigonia","Coloma et al. 2020",2020
"15458",1573971,"Mediterraneotrigonia","Creixell et al. 2013",2013
"15491",1580771,"Agria","Arévalo and Welkner 2008",2008
"15544",1590315,"Avicula (Oxytoma)","Imlay 1960",1960
"15561",1594565,"Goretophylloceras","Murphy and Rodda 2006",2006
"15583",1595236,"Helisoma","Antoine et al. 2021",2021
"15634",1602251,"Hyridella","Poropat et al. 2022",2022
"15638",1604398,"Loligo","Mironenko et al. 2021",2021
"15641",1613775,"Barcoona","Kendrick and Vartak 2007",2007
"15652",1619338,"Belemnitina","Takakuwa et al. 2008",2008
"15673",1630869,"Pupoides (Ischnopupoides)","Cabrera and Martínez 2017",2017
"15674",1630870,"Bahiensis","Cabrera and Martínez 2012",2012
"15675",1630871,"Eoborus","Cabrera et al. 2018",2018
"15701",1630901,"Brasilennea","Salvador and Simone 2012",2012
"15704",1631048,"Hydrocena","Yu and Neubauer 2021",2021
"15705",1631049,"Eotrichophorus","Bullis et al. 2020",2020
"15706",1631050,"Perissocyclos","Bullis et al. 2020",2020
"15707",1631051,"Macropupina","Bullis et al. 2020",2020
"15709",1631057,"Euthema","Bullis et al. 2020",2020
"15711",1631061,"Archaeocyclotus","Bichain et al. 2022",2022
"15712",1631062,"Burminella","Balashov et al. 2021",2021
"15715",1631065,"Lagocheilus","Hirano et al. 2019",2019
"15718",1631068,"Schistoloma","Hirano et al. 2019",2019
"15719",1631069,"Hirsuticyclus","Neubauer et al. 2019",2019
"15723",1631076,"Cretatortulosa","Jochum et al. 2021",2021
"15724",1631077,"Pseudopomatias","Yu et al. 2018",2018
"15730",1631088,"Cretadiostoma","Yu et al. 2023",2023
"15733",1631091,"Coptocheilus","Yu et al. 2023",2023
"15735",1631093,"Balticopta","Balashov and Perkovsky 2020",2020
"15737",1631712,"Cyathopoma","Yu et al. 2022",2022
"15792",1638513,"Tricula","Yu et al. 2023",2023
"15811",1638620,"Cataldia","Cataldo 2017",2017
"15820",1638810,"Bythinia","Clark 1911",1911
"15931",1664875,"Auroradiolites","Barman et al. 2023",2023
"15933",1665871,"Bolcaoctopus","Mironenko et al. 2024",2024
"15936",1666432,"Pseudaturoidea","Baudouin and Delanoy 2024",2024
"15947",1672926,"Callochiton","Wu and Lee 2024",2024
"15948",1672928,"Plaxiphora","Wu and Lee 2024",2024
"15949",1672929,"Chiton (Rhyssoplax)","Wu and Lee 2024",2024
"15950",1672930,"Lorica","Wu and Lee 2024",2024
"16010",1688794,"Bocourtia","Miquel 2024",2024
"16011",1688798,"Leptinaria","Miquel 2024",2024
"16134",1693814,"Pterotrigonia (Rinetrigonia)","Olivero et al. 1990",1990
"16149",1695476,"Trapezium (Schedotrapezium)","Gabb 1864",1864
"16150",1695495,"Ventridens","Gabb 1864",1864
"16153",1699561,"Liobelus","Dzyuba et al. 2018",2018
"16155",1699571,"Pronoella (Dividella)","Dzyuba et al. 2018",2018
"16161",1699834,"Antutrigonia","Leanza 1993",1993
"16239",2038609,"Oligosarcolites","Mitchell and Gunter 2006",2006
"16265",2040349,"Boreophylloceras","Repin et al. 1998",1998
"16269",2046356,"Praecuvierina","Cahuzac and Janssen 2010",2010
"17263",27519,"Aucellina","Butterworth et al. 1988",1988
"17720",32272,"Sunites","Saks, ed 1975",1975
"17731",32476,"Arctotis","Saks, ed 1975",1975
"17968",34997,"Meleagrinella","Saks, ed 1975",1975
"18171",46358,"Polyconites","Calzada and Mar Urquiola 1995",1995
"18207",47217,"Icthyosarcolites","Pojarkova 1984",1984
"18247",52778,"Horiopleura","Masse et al. 1998",1998
"19792",97976,"Caprinella","Klein 1986",1986
"20407",273788,"Praecaprotina","Sano 1991",1991
"20601",385856,"Steinmannia","Thomson 1981",1981
"20629",387688,"Maccoyella","Speden 1973",1973
"20649",389589,"Malayomaorica","Speden 1973",1973
"20781",401008,"Didymotis","Sommermeier 1918",1918
"21239",423148,"Somapecten","MacLeod and Hills 1990",1990
"21820",521686,"Discus","Winkler 1983",1983
"22370",603249,"Tepeyacia","Garcia-Barrera 2006",2006
"22382",603271,"Douvillelia","Garcia-Barrera 2006",2006
"23348",636711,"Bositra","Villamil 1998",1998
"25655",855696,"Ptychogyra","Fischer 1992",1992
"27179",1224519,"Curtocaprina","Mitchell 2013",2013
"27218",1226487,"Magallanesia","Sano et al. 2014",2014
"28888",1301569,"Chaperia","Brown 1952",1952
"29882",1404556,"Entogonites","Tanaka et al. 2018",2018
"30001",1439375,"Allobuchia","Fang et al. 2009",2009
"32461",1664880,"Shajia","Barman et al. 2023",2023
"38116",495794,"Huxleyia","Kafanov and Ogasawara 2004",2004
"38561",564228,"Diceras","Delamette et al. 1997",1997
